UF;MUNICiPIO;CoDIGO_NACIONAL
RJ;TRAJANO DE MORAIS;22
RJ;PARATI;24
RJ;ARMAÇÃO DE BÚZIOS;22
ES;MARATAIZES;28
RJ;VOLTA REDONDA;24
RJ;VASSOURAS;24
RJ;VARRE-SAI;22
RJ;VALENÇA;24
RJ;TRÊS RIOS;24
RJ;TERESÓPOLIS;21
RJ;TANGUÁ;21
RJ;SUMIDOURO;22
RJ;SILVA JARDIM;22
RJ;SEROPÉDICA;21
RJ;SAQUAREMA;22
RJ;SAPUCAIA;24
RJ;SÃO SEBASTIÃO DO ALTO;22
RJ;SÃO PEDRO DA ALDEIA;22
RJ;SÃO JOSÉ DO VALE DO RIO PRETO;24
RJ;SÃO JOSÉ DE UBÁ;22
RJ;SÃO JOÃO DE MERITI;21
RJ;SÃO JOÃO DA BARRA;22
RJ;SÃO GONÇALO;21
RJ;SÃO FIDÉLIS;22
RJ;SÃO FRANCISCO DE ITABAPOANA;22
RJ;SANTO ANTÔNIO DE PÁDUA;22
RJ;SANTA MARIA MADALENA;22
RJ;RIO DE JANEIRO;21
RJ;RIO DAS OSTRAS;22
RJ;RIO DAS FLORES;24
RJ;RIO CLARO;24
RJ;RIO BONITO;21
RJ;RESENDE;24
RJ;QUISSAMÃ;22
RJ;QUEIMADOS;21
RJ;QUATIS;24
RJ;PORTO REAL;24
RJ;PORCIÚNCULA;22
RJ;PIRAÍ;24
RJ;PINHEIRAL;24
RJ;PETRÓPOLIS;24
RJ;PATY DO ALFERES;24
RJ;PARAÍBA DO SUL;24
RJ;PARACAMBI;21
RJ;NOVA IGUAÇU;21
RJ;NOVA FRIBURGO;22
RJ;NITERÓI;21
RJ;NILÓPOLIS;21
RJ;NATIVIDADE;22
RJ;MIRACEMA;22
RJ;MIGUEL PEREIRA;24
RJ;MESQUITA;21
RJ;MENDES;24
RJ;MARICÁ;21
RJ;MANGARATIBA;21
RJ;MAGÉ;21
RJ;MACUCO;22
RJ;MACAÉ;22
RJ;LAJE DO MURIAÉ;22
RJ;JAPERI;21
RJ;ITATIAIA;24
RJ;ITAPERUNA;22
RJ;ITAOCARA;22
RJ;ITALVA;22
RJ;ITAGUAÍ;21
RJ;ITABORAÍ;21
RJ;IGUABA GRANDE;22
RJ;GUAPIMIRIM;21
RJ;ENGENHEIRO PAULO DE FRONTIN;24
RJ;DUQUE DE CAXIAS;21
RJ;DUAS BARRAS;22
RJ;CORDEIRO;22
RJ;CONCEIÇÃO DE MACABU;22
RJ;CASIMIRO DE ABREU;22
RJ;CARMO;22
RJ;CARDOSO MOREIRA;22
RJ;CANTAGALO;22
RJ;CAMPOS DOS GOYTACAZES;22
RJ;COMENDADOR LEVY GASPARIAN;24
RJ;CARAPEBUS;22
RJ;CAMBUCI;22
RJ;CACHOEIRAS DE MACACU;21
RJ;CABO FRIO;22
RJ;BOM JESUS DO ITABAPOANA;22
RJ;BOM JARDIM;22
RJ;BELFORD ROXO;21
RJ;BARRA MANSA;24
RJ;BARRA DO PIRAÍ;24
RJ;ARRAIAL DO CABO;22
RJ;AREAL;24
RJ;ARARUAMA;22
RJ;APERIBÉ;22
RJ;ANGRA DOS REIS;24
ES;VITÓRIA;27
ES;VILA VELHA;27
ES;VILA VALÉRIO;27
ES;VILA PAVÃO;27
ES;VIANA;27
ES;VENDA NOVA DO IMIGRANTE;28
ES;VARGEM ALTA;28
ES;SOORETAMA;27
ES;SERRA;27
ES;SÃO ROQUE DO CANAÃ;27
ES;SÃO MATEUS;27
ES;SÃO JOSÉ DO CALÇADO;28
ES;SÃO GABRIEL DA PALHA;27
ES;SÃO DOMINGOS DO NORTE;27
ES;SANTA TERESA;27
ES;SANTA MARIA DE JETIBÁ;27
ES;SANTA LEOPOLDINA;27
ES;RIO NOVO DO SUL;28
ES;RIO BANANAL;27
ES;PRESIDENTE KENNEDY;28
ES;PONTO BELO;27
ES;PIÚMA;28
ES;PINHEIROS;27
ES;PEDRO CANÁRIO;27
ES;PANCAS;27
ES;NOVA VENÉCIA;27
ES;MUQUI;28
ES;MUNIZ FREIRE;28
ES;MUCURICI;27
ES;MONTANHA;27
ES;MIMOSO DO SUL;28
ES;MARILÂNDIA;27
ES;MARECHAL FLORIANO;27
ES;MANTENÓPOLIS;27
ES;LINHARES;27
ES;LARANJA DA TERRA;27
ES;JOÃO NEIVA;27
ES;JERÔNIMO MONTEIRO;28
ES;JAGUARÉ;27
ES;IÚNA;28
ES;ITARANA;27
ES;ITAPEMIRIM;28
ES;ITAGUAÇU;27
ES;IRUPI;28
ES;ICONHA;28
ES;IBITIRAMA;28
ES;IBIRAÇU;27
ES;IBATIBA;28
ES;GUARAPARI;27
ES;GUAÇUÍ;28
ES;GOVERNADOR LINDENBERG;27
ES;FUNDÃO;27
ES;ECOPORANGA;27
ES;DORES DO RIO PRETO;28
ES;DOMINGOS MARTINS;27
ES;DIVINO DE SÃO LOURENÇO;28
ES;CONCEIÇÃO DO CASTELO;28
ES;CONCEIÇÃO DA BARRA;27
ES;COLATINA;27
ES;CASTELO;28
ES;CARIACICA;27
ES;CACHOEIRO DE ITAPEMIRIM;28
ES;BREJETUBA;27
ES;BOM JESUS DO NORTE;28
ES;BOA ESPERANÇA;27
ES;BARRA DE SÃO FRANCISCO;27
ES;BAIXO GUANDU;27
ES;ATILIO VIVACQUA;28
ES;ARACRUZ;27
ES;APIACÁ;28
ES;ANCHIETA;28
ES;ALTO RIO NOVO;27
ES;ALFREDO CHAVES;27
ES;ALEGRE;28
ES;ÁGUA DOCE DO NORTE;27
ES;ÁGUIA BRANCA;27
ES;AFONSO CLÁUDIO;27
